house,place to call home
tiger,striped feline predator
lemon,yellow citrus fruit
mouse,small rodent often found indoors
beach,sandy shore by the sea
snake,slithery reptile without legs
grape,small fruit often used to make wine
clock,device to tell time
chair,furniture to sit on
cloud,fluffy mass in the sky
smile,curve of happiness
maple,tree known for its syrup
music,art of sound
bread,basic food made from dough
earth,planet we inhabit
water,liquid essential for life
angel,heavenly being
smile,curve of happiness
apple,common fruit
plant,green organism with leaves
glint, brief flash of light
mirth, amusement or laughter
quirk, peculiar or unexpected trait
blush, facial expression indicating embarrassment
pluck, courage or determination
mural, large painting on a wall
whisk, beat or stir rapidly
stove, appliance for cooking food
yacht, luxury boat for leisure
comet, celestial body with a tail of gas and dust
